Title,Proposal Url,Mission,Total,Rubric Results
Shutter: Onchain Shielded Voting for Retro Funding in Optimism.,https://app.charmverse.io/op-grants/shutter-onchain-shielded-voting-for-retro-funding-in-optimism-6152686855673055,Advancing Optimism Anonymous Community and Governance Tooling,90,"Criteria: Code Audit (if applicable mark 0 if not) - Average: 0.0 || Total: 0
 

 *n/a
 

 *to be built
 

 *n/a
 

 

 Criteria: Discretionary - Average: -0.2 || Total: -1
 

 *The use case is not clear for this
 

 *Unclear on what projects they're targetting comments say in conversations with a few projects should be more planned out than this with buy in already secured.
 

 

 Criteria: Distribution implementation plan - Average: 2.0 || Total: 10
 

 *Builders so giving this a neutral score
 

 

 Criteria: Experimentation and Novelty - Average: 1.6 || Total: 8
 

 

 Criteria: Grant size - Average: 2.0 || Total: 10
 

 *8000
 

 *Low request size firmly within the experiment with high risk high return category
 

 

 Criteria: Intuitivity and ease of use - Average: 1.8 || Total: 9
 

 *Would potentially require marketing and buy in from voters
 

 *standard ux
 

 

 Criteria: Likelihood of success - Average: 2.2 || Total: 11
 

 

 Criteria: Milestone Assessment - Average: 1.8 || Total: 9
 

 

 Criteria: Milestone Trackability - Average: 1.0 || Total: 5
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 5
 

 

 Criteria: Team assessment - Average: 2.6 || Total: 13
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2
 

 

 Criteria: User Retention - Average: 1.8 || Total: 9"
Sherlock - Smart Contract Audits Mission Request,https://app.charmverse.io/op-grants/page-11949409404374878,Smart contract auditing services,122,"Criteria: Builder Commitment - Average: 3.3 || Total: 13
 

 

 Criteria: Builder Draw - Average: 3.0 || Total: 12
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.3 || Total: 4
 

 *not applicable
 

 

 Criteria: Development of OP Stack - Average: 3.0 || Total: 12
 

 

 Criteria: Discretionary Factors - Average: 0.8 || Total: 3
 

 *Sherlock is a top auditing firm
 

 *sherlock have only increased their stature since the initial approval and they have been phenomenally responsive and professional while launching the original audit program. I'd like to encourage more groups to apply but Optimism can't go wrong with them.
 

 *It's a no-brainer there is a past relationship and we already know we want it my only concern is with the ask amount.
 

 

 Criteria: Grant size - Average: 1.8 || Total: 7
 

 *this depletes the budget for this whole MR
 

 

 Criteria: Likelihood of success - Average: 3.3 || Total: 13
 

 *sherlock have only increased their stature since the initial approval and they have been phenomenally responsive and professional while launching the original audit program.
 

 

 Criteria: Milestone Orientation - Average: 2.0 || Total: 8
 

 

 Criteria: Milestones accountability - Average: 2.0 || Total: 8
 

 

 Criteria: Milestone Trackability - Average: 1.8 || Total: 7
 

 

 Criteria: Novelty - Average: 2.3 || Total: 9
 

 *their particular model allows them to punch above their weight org-wise
 

 *not really applicable
 

 

 Criteria: Opensource - Average: 0.7 || Total: 2
 

 *not applicable
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 4
 

 *NA
 

 *not applicable
 

 

 Criteria: Superchain composability potential - Average: 1.5 || Total: 6
 

 

 Criteria: Team assessment - Average: 3.5 || Total: 14
 

 *Team has substantial relevant experience and shows significant ability to deliver on plan
 

 

 Criteria: Timely Submission - Average: 0.0 || Total: 0"
Scale ENS to OP | Blockful – Official ENS Service Provider,https://app.charmverse.io/op-grants/scale-ens-to-op-blockful-official-ens-service-provider-6112748728814419,Scale ENS to OP,116,"Criteria: Accessibility / Efficieny - Average: 1.0 || Total: 3
 

 

 Criteria: Builder Commitment - Average: 3.3 || Total: 13
 

 *this is inherently an OP-oriented thing
 

 

 Criteria: Demo included (optional available only for software projects) - Average: 0.0 || Total: 0
 

 

 Criteria: Discretionary Factors* - Average: 0.3 || Total: 1
 

 

 Criteria: Grant size - Average: 2.0 || Total: 8
 

 

 Criteria: Insights for UX/UI design - Average: 1.3 || Total: 5
 

 *user onboarding is great
 

 

 Criteria: Likelihood of success - Average: 3.0 || Total: 12
 

 *need for this is high think close alingment with ENS is crucial
 

 

 Criteria: Milestone Orientation - Average: 1.5 || Total: 6
 

 

 Criteria: Milestones accountability - Average: 2.0 || Total: 8
 

 

 Criteria: Milestone Trackability - Average: 2.0 || Total: 8
 

 

 Criteria: Non-defi user attraction - Average: 1.5 || Total: 6
 

 

 Criteria: Novelty - Average: 3.0 || Total: 12
 

 

 Criteria: Opensource - Average: 2.0 || Total: 8
 

 

 Criteria: Optimism Relationship - Average: 1.5 || Total: 6
 

 

 Criteria: Sybil detection - Average: 0.0 || Total: 0
 

 

 Criteria: Team assessment - Average: 3.3 || Total: 13
 

 *highly regarded team
 

 

 Criteria: Timely Submission - Average: -1.0 || Total: -1
 

 

 Criteria: User draw - Average: 1.0 || Total: 4
 

 

 Criteria: User retention - Average: 1.0 || Total: 4"
Research on using YubiHSM and AWS KMS hardware signer on OP Stack,https://app.charmverse.io/op-grants/research-on-using-yubihsm-and-aws-kms-hardware-signer-on-op-stack-41211765826072866,OP Stack Research and Implementation,96,"Criteria: Builder Commitment - Average: 3.3 || Total: 13
 

 *specifically for op chains
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.0 || Total: 0
 

 

 Criteria: Discretionary Factors - Average: 0.0 || Total: 0
 

 *More research on key managment is always needed and this particular subject will be even more relevant in the future with increase of institutional blockchain usage.
 

 

 Criteria: Grant size - Average: 2.3 || Total: 9
 

 

 Criteria: Infrastructure Draw - Average: 2.3 || Total: 9
 

 *more and better options for key management are always good mainly if the implementation will be accessed by everyone.
 

 

 Criteria: Likelihood of success - Average: 3.0 || Total: 12
 

 *seems like would be great for broadening use
 

 *Similar as in infrastructure draw
 

 

 Criteria: Milestone Orientation - Average: 2.0 || Total: 8
 

 

 Criteria: Milestones accountability - Average: 1.5 || Total: 6
 

 

 Criteria: Milestone Trackability - Average: 1.3 || Total: 5
 

 

 Criteria: Novelty - Average: 3.0 || Total: 12
 

 

 Criteria: Optimism Relationship - Average: 2.0 || Total: 8
 

 

 Criteria: Team assessment - Average: 3.0 || Total: 12
 

 *Competent team to carry out this task
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2"
"Redprint : toolkit, an interactive code generator and a dev framework to modify & deploy OPStack ’s contracts",https://app.charmverse.io/op-grants/redprint-toolkit-an-interactive-code-generator-and-a-dev-framework-to-modify-deploy-opstack-s-contracts-9499729065142495,Builder Grants 2,,
Rantom - Open Source DeFi Activities Feed for Optimism Ecosystem,https://app.charmverse.io/op-grants/rantom-open-source-defi-activities-feed-for-optimism-ecosystem-6630702565238467,Builder Grants 2,69,"Criteria: Builder Commitment - Average: 2.0 || Total: 8
 

 

 Criteria: Builder Draw - Average: 1.3 || Total: 5
 

 *not highly likely for builders
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 4
 

 

 Criteria: Development of OP Stack - Average: 0.8 || Total: 3
 

 

 Criteria: Discretionary Factors - Average: -0.3 || Total: -1
 

 *While it's a very small spray-and-pray type of ask I don't fully understand what is the reason for us to fund that. There is no recent activity in the projects' github it's seems like this ask is for just extending this project with Optimism data for some chosen Optimism protocols I see no value in doing just that def. no builder draw from this.
 

 *largely already built recommend retro
 

 

 Criteria: Grant size - Average: 2.3 || Total: 9
 

 *Asking only 5k OP
 

 *grant ask is small but so is incremental value
 

 

 Criteria: Likelihood of success - Average: 1.3 || Total: 5
 

 *plenty of explorers in this space
 

 

 Criteria: Milestone Orientation - Average: 0.8 || Total: 3
 

 

 Criteria: Milestone Trackability - Average: 1.3 || Total: 5
 

 

 Criteria: Novelty - Average: 1.8 || Total: 7
 

 *Competitor to etherscan
 

 *being a defi oriented firehose is decently interesting but highly replicable
 

 

 Criteria: Opensource - Average: 1.3 || Total: 5
 

 

 Criteria: Optimism Relationship - Average: 1.3 || Total: 5
 

 

 Criteria: Team assessment - Average: 2.3 || Total: 9
 

 *built this already
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2"
Rage Trade Perp Aggregator,https://app.charmverse.io/op-grants/page-24933782121101822,Growth Experiment grant,135,"Criteria: Code Audit - Average: 2.2 || Total: 11
 

 *audited by peckshield
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 5
 

 

 Criteria: Discretionary Factors - Average: -0.3 || Total: -1
 

 *I think this grant is better suited for Optimism-native protocols rather than multi-chain.
 

 

 Criteria: Distribution implementation plan - Average: 2.4 || Total: 12
 

 *Distribution is fair
 

 

 Criteria: Experimentation and Novelty - Average: 2.0 || Total: 10
 

 

 Criteria: Grant size - Average: 2.4 || Total: 12
 

 *50000
 

 *Request seems slightly expensive on a per user basis (looking at milestones as minimum) but likely to be users that intensively interact with Optimism
 

 *Ask is moderate
 

 

 Criteria: intuitivity and ease of use - Average: 2.0 || Total: 10
 

 *UX is standard
 

 

 Criteria: Likelihood of success - Average: 2.4 || Total: 12
 

 *Unclear how broad the reach will be but looks very likely a group of users will use this extensively
 

 

 Criteria: Milestone Assessment - Average: 1.6 || Total: 8
 

 *Milestones could be more aggressive and seek a higher request but are explicit and trackable
 

 *critical milestones are under ambitious in metric targets
 

 

 Criteria: Milestone Trackability - Average: 1.8 || Total: 9
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 5
 

 *Deployed on multiple chains
 

 

 Criteria: Reach - Average: 2.2 || Total: 11
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 2.2 || Total: 11
 

 *Already shown to be a valid use case
 

 *Perps platforms are useful for wide arrays of users
 

 

 Criteria: Team assessment - Average: 2.4 || Total: 12
 

 

 Criteria: Timely Submission - Average: 0.0 || Total: 0
 

 

 Criteria: User Retention - Average: 1.6 || Total: 8
 

 *Its unlikely if users return after incentives end also need to retain underwriters."
Public Goods Staking Widget,https://app.charmverse.io/op-grants/public-goods-staking-widget-10451194440229794,Liquid staked ETH Optimism's home,86,"Criteria: Code Audit (mark 0 if not applicable) - Average: 0.0 || Total: 0
 

 *N/A yet
 

 *contracts are yet to be deployed N/A
 

 *to be built
 

 *n/a
 

 

 Criteria: Discretionary - Average: -0.4 || Total: -2
 

 *This seems like a relatively simple widget who's success would be much more based on the amount of organizations to adopt it rather than the creation of the widget itself. I don't see the ROI here from an up-front grant but if it could gain adoption this would be a good use for RPGF.
 

 *not a strong use case
 

 

 Criteria: Distribution implementation plan - Average: 2.0 || Total: 10
 

 *Sizing seems relatively fair to build a tool like this out + smart contracts behind it.
 

 *Entirely builders
 

 *builders so giving this a neutral score
 

 

 Criteria: Experimentation and Novelty - Average: 1.8 || Total: 9
 

 *Highly crowded space
 

 

 Criteria: Grant size - Average: 1.6 || Total: 8
 

 *Sizing seems relatively fair to build a tool like this out + smart contracts behind it.
 

 *Ask is moderate but still high for the type of contracts being created.
 

 

 Criteria: Intuitivity and ease of use - Average: 1.4 || Total: 7
 

 *standard ux
 

 *to be built
 

 

 Criteria: Likelihood of success - Average: 1.4 || Total: 7
 

 

 Criteria: Milestone Assessment - Average: 1.8 || Total: 9
 

 *Milestones are builder/dev focused but do not include any impact areas.
 

 

 Criteria: Milestone Trackability - Average: 1.0 || Total: 4
 

 *Milestones would be better if it included usage statistics.
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 5
 

 *Live on multiple chains including OP
 

 

 Criteria: Reach - Average: 0.6 || Total: 3
 

 *Reaches a very low number of users. I do not expect this to be widely accepted.
 

 *Likely to reach a smaller base of users
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 1.6 || Total: 8
 

 *Donation platforms are useful but a highly diluted space
 

 

 Criteria: Team assessment - Average: 2.0 || Total: 10
 

 

 Criteria: User Retention - Average: 1.6 || Total: 8
 

 *i could see users who donate returning to continue donations"
Public Goods In Crypto Bootcamp,https://app.charmverse.io/op-grants/public-goods-in-crypto-bootcamp-6456039241864904,Integration of Optimism Gov and RPGF Modules into University Courses,52,"Criteria: Code Audit (if applicable mark 0 if not) - Average: 0.0 || Total: 0
 

 *N/A
 

 *N/A
 

 *N/A
 

 

 Criteria: Delegate Reach - Average: 1.4 || Total: 7
 

 

 Criteria: Discretionary - Average: -0.8 || Total: -4
 

 *Added one point here this is a crypto native platform that has put together high quality courses before.
 

 *Initiatives of this type have not shown to be effective
 

 *I do not see this as a valuable project to incentivize with a large amount of OP. Educational initiatives should be more limited in OP size.
 

 *This mission request requires academic institutions specifically recommend applying in a different category as this is outside the mandate of this grant
 

 

 Criteria: Distribution implementation plan - Average: 1.2 || Total: 6
 

 *Reasonable set of tasks to accomplish given size
 

 *Plan requires collaboration from multiple 3rd parties
 

 *Unfortunately this is not within the mandate of the mission as it is not a university
 

 

 Criteria: Experimentation and Novelty - Average: 1.4 || Total: 7
 

 *educational curation platform
 

 *Paid online courses
 

 

 Criteria: Grant size - Average: 1.0 || Total: 5
 

 *Reasonable grant size
 

 *Grant size is large for an initiative of this type
 

 *Large grant size for a bootcamp.
 

 *Unfortunately this is not within the mandate of the mission as it is not a university
 

 

 Criteria: Likelihood of success - Average: 1.8 || Total: 9
 

 *Difficult to see these things being useful beyond a short timeframe
 

 

 Criteria: Milestone Assessment - Average: 0.4 || Total: 2
 

 *Would love to see some more metrics-based milestones
 

 *Critical milestones are focused solely on launch and delivery nothing about acquiring new users
 

 *Milestones are many but hard to verify
 

 *Lacks metric based / measurable milestones.
 

 *Unfortunately this is not within the mandate of the mission as it is not a university. Milestones also lack detail and seem incomplete
 

 

 Criteria: Milestone Trackability - Average: 1.0 || Total: 5
 

 *some are trackable others require trust
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 5
 

 *Deployed across multiple chains
 

 

 Criteria: Timely Submission - Average: -2.0 || Total: -2
 

 

 Criteria: Users - Average: 2.4 || Total: 12"
Proposal: Silo Finance,https://app.charmverse.io/op-grants/proposal-silo-finance-7493304542273396,Growth Experiment grant,161,"Criteria: Code Audit - Average: 3.6 || Total: 18
 

 *ABDK Quantstamp Certora
 

 *High quality auditors (ABDK Quantstamp)
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 5
 

 

 Criteria: Discretionary Factors - Average: 0.7 || Total: 2
 

 *Proven protocol aiming to bootstrap liquidity for launch on Optimism with high TVL milestones is strongly aligned with the purpose of the Growth Experiments grant.
 

 

 Criteria: Distribution implementation plan - Average: 2.6 || Total: 13
 

 *distribution is clear
 

 *Clear & Fair Distribution
 

 *Distribution plan lacks key details such as how much OP a user can get for a specific action and any limitations
 

 

 Criteria: Experimentation and Novelty - Average: 2.0 || Total: 10
 

 *Novel protocol siloed assets and support between them all with a stable in the middle (they've trialed crvUSD silo stable etc)
 

 

 Criteria: Grant size - Average: 1.0 || Total: 5
 

 *Max ask
 

 *Max amount
 

 *Max score for sizing
 

 *maximum score for this size request
 

 

 Criteria: intuitivity and ease of use - Average: 2.6 || Total: 13
 

 *Enterprise grade ux
 

 *Simple UI/UX does get a little interesting separating multiple deployments & isolated markets.
 

 

 Criteria: Likelihood of success - Average: 2.6 || Total: 13
 

 *Silo has already proven it's success on other chains.
 

 

 Criteria: Milestone Assessment - Average: 2.8 || Total: 14
 

 *TVL-based critical milestones
 

 *Milestones are metrics based and reasonable
 

 *Metrics/Data Based with proper impact
 

 *Milestones should be more aggressive for this size request
 

 

 Criteria: Milestone Trackability - Average: 2.0 || Total: 8
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 5
 

 *Not deployed
 

 *Deployed on multiple chains
 

 

 Criteria: Reach - Average: 2.6 || Total: 13
 

 *reaches a large number of users
 

 *Reaches a wide number of users.
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 2.4 || Total: 12
 

 *Siloed lending markets are a usecase for onboarding higher risk assets into lending markets.
 

 

 Criteria: Team assessment - Average: 3.0 || Total: 15
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2
 

 

 Criteria: User Retention - Average: 2.6 || Total: 13
 

 *Silo maintained user growth after the grants ended on Arbitrum.
 

 *Can retain users for core assets and those that aren't accepted elsewhere"
Practical Private Voting,https://app.charmverse.io/op-grants/practical-private-voting-8127441920030594,Builder Grants 2,69,"Criteria: Builder Commitment - Average: 3.0 || Total: 12
 

 *inherently gov focused
 

 

 Criteria: Builder Draw - Average: 1.3 || Total: 5
 

 *this does very little for builder draw directly
 

 *project will draw some builders to op
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.0 || Total: 0
 

 

 Criteria: Development of OP Stack - Average: 1.0 || Total: 4
 

 

 Criteria: Discretionary Factors - Average: -0.3 || Total: -1
 

 *i think there is a gap between what is being offered and the ask and the work done to date on other projects doesn't provide adequate support for funding the entirety of this project on spec
 

 *It would be better suited for a targeted MR to address this domain.
 

 

 Criteria: Grant size - Average: 1.0 || Total: 4
 

 *this is a product with tertiary importance at the moment and the project is asking the full possibility
 

 *It's not really a builder draw proposal so a max ask is rather a stretch here.
 

 

 Criteria: Likelihood of success - Average: 1.3 || Total: 5
 

 *governance related stuff needs to be heavily unique and we don't yet know the actual shape of how voting will go in the future
 

 *It's an interesting thing to build but it seems rather as a feature of some broader platform then a tool in itself.
 

 

 Criteria: Milestone Orientation - Average: 1.3 || Total: 5
 

 

 Criteria: Milestone Trackability - Average: 1.5 || Total: 6
 

 

 Criteria: Novelty - Average: 2.0 || Total: 8
 

 

 Criteria: Opensource - Average: 1.5 || Total: 6
 

 

 Criteria: Optimism Relationship - Average: 1.5 || Total: 6
 

 

 Criteria: Team assessment - Average: 2.3 || Total: 9"
Powerhouse Layerwide Operations Support,https://app.charmverse.io/op-grants/powerhouse-layerwide-operations-support-49544201533646826,Layerwide new project support,74,"Criteria: Builder draw - Average: 1.0 || Total: 4
 

 *This isn't a real cost center for projects - the delivery is more of a nice to have
 

 

 Criteria: Builders long-term support - Average: 1.3 || Total: 5
 

 

 Criteria: Discretionary Factors - Average: 0.0 || Total: 0
 

 *Not really sure if there is enough demand for such services good to have this as a pilot program to test the waters.
 

 

 Criteria: Ease of bootstrap - Average: 1.0 || Total: 4
 

 

 Criteria: Grant size - Average: 1.3 || Total: 5
 

 *After the reduction the grant size seems reasonable.
 

 

 Criteria: Likelihood of success - Average: 2.0 || Total: 8
 

 

 Criteria: Milestone Orientation - Average: 1.0 || Total: 4
 

 

 Criteria: Milestones accountability - Average: 1.5 || Total: 6
 

 

 Criteria: Milestone Trackability - Average: 1.8 || Total: 7
 

 

 Criteria: Novelty - Average: 2.5 || Total: 10
 

 *particularly I have never seen a project focusing on this way.
 

 *Powerhouse and its related software systems are designed to improve transparency within and outside of organizations.
 

 *software service is useful but not a game changer for new projects
 

 

 Criteria: Optimism Relationship - Average: 2.0 || Total: 8
 

 

 Criteria: Team assessment - Average: 3.3 || Total: 13
 

 *top team
 

 *Solid experienced team."
PoolTogether Rocket Pool Prize Vaults,https://app.charmverse.io/op-grants/pooltogether-rocket-pool-prize-vaults-2932225218365898,Liquid staked ETH Optimism's home,120,"Criteria: Code Audit (mark 0 if not applicable) - Average: 2.6 || Total: 13
 

 *https://docs.pooltogether.com/security/audits
 

 

 Criteria: Discretionary - Average: 0.0 || Total: 0
 

 *Importation of yield bearing assets to Optimism should be prioritized.
 

 *This proposal can be greatly improved but I am scoring projects with discretionary +1 for yield-generating collateral usage + a target to migrate RETH (a minority LST)
 

 *Pooltogether isn't a protocol that really achieves economies of scale with liquidity in the way other protocols do. I feel like a grant here would not have the ROI required to justify it's size.
 

 

 Criteria: Distribution implementation plan - Average: 1.6 || Total: 8
 

 *Distribution plan can be improved.
 

 

 Criteria: Experimentation and Novelty - Average: 1.6 || Total: 8
 

 

 Criteria: Grant size - Average: 1.0 || Total: 5
 

 *Grant size should be greatly decreased
 

 *142000
 

 *Ask is quite large
 

 

 Criteria: Intuitivity and ease of use - Average: 2.0 || Total: 10
 

 *Standard UX
 

 

 Criteria: Likelihood of success - Average: 2.0 || Total: 10
 

 

 Criteria: Milestone Assessment - Average: 2.4 || Total: 12
 

 

 Criteria: Milestone Trackability - Average: 1.8 || Total: 9
 

 *milestones are easily tracked
 

 

 Criteria: Optimism Relationship - Average: 1.6 || Total: 8
 

 *Deployed on OP and additional chains.
 

 

 Criteria: Reach - Average: 1.8 || Total: 9
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 1.6 || Total: 8
 

 

 Criteria: Team assessment - Average: 2.6 || Total: 13
 

 *Team is very capable
 

 

 Criteria: User Retention - Average: 1.4 || Total: 7
 

 *Pool Together has received large grants in the past and has struggled to retain users. I am fearful that this will happen again to them."
Poolside,https://app.charmverse.io/op-grants/poolside-6891940389736264,Growth Experiment grant,145,"Criteria: Code Audit - Average: 3.3 || Total: 13
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 4
 

 

 Criteria: Discretionary Factors - Average: 0.3 || Total: 1
 

 *IMO this is the exact reason that we have grants to help a novel protocol bootstrap liquidity on Optimism.
 

 *Optimism should support a protocol focused on yield-generating collateral
 

 *The grant size is around 20% of the total TVL of this protocol across multiple chains according to DeFi Llama. If the request was smaller -- under 20k -- to finance a pilot to establish this would have a material impact on the protocol's adoption and use on Optimism then a grant would be easier to justify. Notably deployment is a milestone and Optimism is already offered on the Poolside front end
 

 

 Criteria: Distribution implementation plan - Average: 2.0 || Total: 10
 

 *Pretty standard liquidity incentives with the benefit that poolside points are distributed in conjunction with OP.
 

 *Distribution plan lacks key details such as how much OP would be provided to a user includes unallocated 10k OP
 

 

 Criteria: Experimentation and Novelty - Average: 2.0 || Total: 10
 

 *AMM
 

 

 Criteria: Grant size - Average: 2.0 || Total: 10
 

 *50000
 

 *see general comments
 

 *Ask is quite large for current metrics
 

 

 Criteria: intuitivity and ease of use - Average: 2.8 || Total: 14
 

 *Very intuitive dex design nothing revolutionary.
 

 *Great UX
 

 *good ux
 

 

 Criteria: Likelihood of success - Average: 2.4 || Total: 12
 

 *Newer project yet has a clear use case that fills a niche.
 

 

 Criteria: Milestone Assessment - Average: 2.6 || Total: 13
 

 *Includes distribution of the rewards itself as a milestone (did not deduct points)
 

 

 Criteria: Milestone Trackability - Average: 1.6 || Total: 8
 

 

 Criteria: Optimism Relationship - Average: 1.2 || Total: 6
 

 *Deployed on OP and other chains
 

 

 Criteria: Reach - Average: 2.4 || Total: 12
 

 *A large number of users as LSTs grows on Optimism
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 2.2 || Total: 11
 

 *rebasing specialized AMM
 

 

 Criteria: Team assessment - Average: 2.2 || Total: 11
 

 

 Criteria: User Retention - Average: 2.0 || Total: 10
 

 *protocol history does not demonstrate growth or retention"
Ponder surveys for superchain builders,https://app.charmverse.io/op-grants/ponder-surveys-for-superchain-builders-43349586555154374,Incentivize Projects to Integrate the Farcaster Social Graph,84,"Criteria: Code Audit (if applicable mark 0 if not) - Average: 0.0 || Total: 0
 

 *N/A
 

 *n/a
 

 *N/A
 

 

 Criteria: Discretionary - Average: -0.2 || Total: -1
 

 *Ask size too large project isn't fleshed out enough doesn't make sense to incentivize with a large grant at this stage
 

 *I like this use case
 

 

 Criteria: Distribution implementation plan - Average: 1.0 || Total: 5
 

 *Distribution plan lacks detail like how much OP would be paid for what kinds of activities.
 

 *Current plan lacks details - We need to know exactly how much OP is going to different rebated activites
 

 *Half builders half growth going to survey bounties
 

 

 Criteria: Experimentation and Novelty - Average: 2.0 || Total: 10
 

 

 Criteria: Grant size - Average: 0.8 || Total: 4
 

 *Grant size is very large for the expected benefits of surveys of superchain builders
 

 *80000 is pretty large
 

 

 Criteria: Intuitivity and ease of use - Average: 2.0 || Total: 10
 

 

 Criteria: Likelihood of success - Average: 2.0 || Total: 10
 

 

 Criteria: Milestone Assessment - Average: 2.0 || Total: 10
 

 *Would prefer at least one usage-centric milestone that measures user adoption.
 

 *Milestones are very clear and metrics based
 

 

 Criteria: Milestone Trackability - Average: 1.4 || Total: 7
 

 

 Criteria: Optimism Relationship - Average: 1.6 || Total: 8
 

 

 Criteria: Team assessment - Average: 2.2 || Total: 11
 

 *Team is experienced with Farcaster and blockchain
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2
 

 

 Criteria: User Retention - Average: 1.6 || Total: 8"
Polynomial Optimistic Indexer,https://app.charmverse.io/op-grants/polynomial-optimistic-indexer-1538697994300977,Builder Grants 2,96,"Criteria: Builder Commitment - Average: 3.3 || Total: 13
 

 

 Criteria: Builder Draw - Average: 2.8 || Total: 11
 

 *this is a necessary thing but there are now a few of these out on the market
 

 *I like this approach
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 4
 

 *already in production
 

 

 Criteria: Development of OP Stack - Average: 2.0 || Total: 8
 

 *This could motivates the creation of more contract deployments
 

 

 Criteria: Discretionary Factors - Average: 0.3 || Total: 1
 

 *this is mostly built so i'd be more enthusiastic about this project getting rpgf
 

 *This is highly needed yet I don't fully understand the ask vs scope of this proposal. I would rather see a much smaller ask for this and having it rewarded through RPGF later.
 

 

 Criteria: Grant size - Average: 1.5 || Total: 6
 

 *this is already live and should be in the running for rpgf
 

 *it's a high ask
 

 *This is a high ask for something that is mostly completed.
 

 

 Criteria: Likelihood of success - Average: 1.8 || Total: 7
 

 *something in this sphere is going to be widely used
 

 

 Criteria: Milestone Orientation - Average: 0.8 || Total: 3
 

 

 Criteria: Milestone Trackability - Average: 1.8 || Total: 7
 

 

 Criteria: Novelty - Average: 2.0 || Total: 8
 

 *we had a whole rfg for work of this nature
 

 

 Criteria: Opensource - Average: 2.0 || Total: 8
 

 

 Criteria: Optimism Relationship - Average: 1.8 || Total: 7
 

 

 Criteria: Team assessment - Average: 3.3 || Total: 13
 

 *top team
 

 

 Criteria: Timely Submission - Average: 0.0 || Total: 0"
PlasmaDA Translation Hub,https://app.charmverse.io/op-grants/plasmada-translation-hub-1014033406866528,OS OP Stack Developer Tooling,91,"Criteria: Builder Commitment - Average: 2.5 || Total: 10
 

 *this is unique to superchain
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.0 || Total: 0
 

 

 Criteria: Discretionary Factors - Average: 0.3 || Total: 1
 

 *This is a good bet
 

 

 Criteria: Grant size - Average: 2.3 || Total: 9
 

 

 Criteria: Infrastructure Draw - Average: 2.3 || Total: 9
 

 

 Criteria: Likelihood of success - Average: 2.3 || Total: 9
 

 *nice to have more DA sources especially one so deeply tied to core usecases
 

 

 Criteria: Milestone Orientation - Average: 2.0 || Total: 8
 

 *great outlining of milestones
 

 

 Criteria: Milestones accountability - Average: 2.0 || Total: 8
 

 

 Criteria: Milestone Trackability - Average: 2.0 || Total: 8
 

 

 Criteria: Novelty - Average: 2.5 || Total: 10
 

 

 Criteria: Optimism Relationship - Average: 2.0 || Total: 8
 

 

 Criteria: Team assessment - Average: 2.3 || Total: 9
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2"
